Date operation;Date valeur;Libelle;Debit;Credit;Catégorie
07/09/2026;07/09/2026;PRLV AXA ASSURANCES VIE MUTUELLE;18,99;;Logement
07/09/2026;07/09/2026;PRLV AXA ASSURANCES IARD MUTUELL;88,03;;Logement
07/09/2026;07/09/2026;PRLV AXA ASSURANCES IARD MUTUELL;62,88;;Logement
07/09/2026;07/09/2026;PRLV ORANGE SA;10,99;;Internet/Téléphone
07/09/2026;07/09/2026;PRLV Keolis Bordeaux Metropole M;21,4;;Voiture/Déplacement
07/09/2026;07/09/2026;PRLV EKWATEUR;208;;
07/09/2026;07/09/2026;PRLV VW Bank France;331,65;;Voiture/Déplacement
07/09/2026;07/09/2026;CARTE 05/09 LECLERC PLENEUF VAL A;101,22;;
07/09/2026;06/09/2026;CARTE 05/09 MR BRICOLAGE   0 PLENEUF VAL A;13,45;;
07/09/2026;06/09/2026;CARTE 05/09 BREIZH VA      0 PLENEUF VAL A;13;;
05/09/2026;05/09/2026;CARTE 04/09 SAS SOREDIS ERQUY;63,74;;Courses
05/09/2026;05/09/2026;CARTE 04/09 CARREFOUR EXPRE0 PLANGUENOUAL;3,73;;
